time,value
0.0583,0.0
0.1166,0.0
0.1749,0.0
0.2332,0.0
0.2915,0.0
0.3498,0.0
0.4081,0.0
0.4664,0.0
0.5247,0.0
0.583,0.0
0.6413,0.0
0.6996,0.0
0.7579,0.0
0.8162,0.0
0.8745,0.0
0.9328,0.0
0.9911,0.0
1.0494,0.0
1.1077,0.0
1.166,0.0
1.2243,0.0
1.2826,0.0
1.3409,0.0
1.3992,0.0
1.4575,0.0
1.5158,0.0
1.5741,0.0
1.6324,0.0
1.6907,0.0
1.749,0.0
1.8073,0.0
1.8656,0.0
1.9239,0.0
1.9822,0.0
2.0405,0.0
2.0988,0.0
2.1571,0.0
2.2154,0.0
2.2737,0.0
2.332,0.0
2.3903,0.0
2.4486,0.0
2.5069,0.0
2.5652,0.0
2.6235,0.0
2.6818,0.0
2.7401,0.0
2.7984,0.0
2.8567,0.0
2.915,0.0
2.9733,0.0
3.0316,0.0
3.0899,0.0
3.1482,0.0
3.2065,0.0
3.2648,0.0
3.3231,0.0
3.3814,0.0
3.4397,0.0
3.498,0.0
3.5563,0.0
3.6146,0.0
3.6729,0.0
3.7312,0.0
3.7895,-69.84344477
3.8478,-693.3662453
3.9061,-1969.39045
3.9644,-3903.920993
4.0227,-6500.988924
4.081,-9762.808995
4.1393,-13688.94068
4.1976,-18279.96878
4.2559,-23528.33143
4.3142,-29431.59789
4.3725,-35980.73806
4.4308,-43165.52726
4.4891,-50976.87523
4.5474,-59403.08839
4.6057,-68432.23553
4.664,-78049.62882
4.7223,-88235.206
4.7806,-98975.49276
4.8389,-110244.9169
4.8972,-122027.8685
4.9555,-134290.324
5.0138,-147018.1152
5.0721,-160178.1215
5.1304,-173747.4949
5.1887,-187684.7947
5.247,-201983.0921
5.3053,-216575.3369
5.3636,-231461.3198
5.4219,-246568.1545
5.4802,-261909.1169
5.5385,-277388.59
5.5968,-293034.0055
5.6551,-308736.6255
5.7134,-324528.3773
5.7717,-340293.481
5.83,-356074.0268
5.8883,-371749.9945
5.9466,-387372.6619
6.0049,-402781.7956
6.0632,-418066.3572
6.1215,-433061.4158
6.1798,-447845.0222
6.2381,-462274.5548
6.2964,-476388.0236
6.3547,-490094.877
6.413,-503419.6873
6.4713,-516241.0276
6.5296,-528626.12
6.5879,-540432.6222
6.6462,-551738.1145
6.7045,-562404.2512
6.7628,-572522.9097
6.8211,-581932.3957
6.8794,-590727.7629
6.9377,-598796.4559
6.996,-606205.9696
7.0543,-612837.694
7.1126,-618790.4094
7.1709,-623812.4597
7.2292,-628236.6769
7.2875,-631648.7774
7.3458,-634376.101
7.4041,-636073.1564
7.4624,-637167.3477
7.5207,-637547.5142
7.579,-637949.3887
7.6373,-638097.7342
7.6956,-638326.7353
7.7539,-638348.5845
7.8122,-638436.1335
7.8705,-638333.5046
7.9288,-638347.9749
7.9871,-638282.4195
8.0454,-638332.0036
8.1037,-638150.2591
8.162,-637977.8209
8.2203,-637623.0033
8.2786,-637286.9102
8.3369,-636686.4349
8.3952,-636024.6951
8.4535,-635136.2378
8.5118,-634187.6125
8.5701,-633141.4687
8.6284,-632195.4584
8.6867,-631120.5622
8.745,-630176.1273
8.8033,-629020.6866
8.8616,-627842.4176
8.9199,-626560.4125
8.9782,-625126.0009
9.0365,-623506.536
9.0948,-621781.3133
9.1531,-620006.1498
9.2114,-618362.7545
9.2697,-616639.6531
9.328,-615138.5512
9.3863,-613602.3453
9.4446,-612314.2558
9.5029,-611134.5738
9.5612,-610279.9426
9.6195,-609508.7618
9.6778,-609076.891
9.7361,-608705.0351
9.7944,-608579.612
9.8527,-608523.3901
9.911,-608709.2179
9.9693,-608891.7764
10.0276,-609303.0208
10.0859,-609722.9913
10.1442,-610379.3355
10.2025,-610978.7448
10.2608,-611774.3833
10.3191,-612511.811
10.3774,-613404.4132
10.4357,-614113.1766
10.494,-614884.9088
10.5523,-615503.7846
10.6106,-616247.0951
10.6689,-616792.1557
10.7272,-617460.7539
10.7855,-617972.1311
10.8438,-618574.5743
10.9021,-619112.8974
10.9604,-619663.288
11.0187,-620208.1134
11.077,-620644.6077
11.1353,-621191.8692
11.1936,-621633.446
11.2519,-622165.6395
11.3102,-622521.24
11.3685,-623054.0416
11.4268,-623491.0982
11.4851,-623994.1134
11.5434,-624349.5922
11.6017,-624939.0827
11.66,-625359.0142
11.7183,-625921.0145
11.7766,-626375.5801
11.8349,-627057.0474
11.8932,-627452.1043
11.9515,-628139.5377
12.0098,-628548.0387
12.0681,-629241.7673
12.1264,-629730.2651
12.1847,-630340.1623
12.243,-630907.2082
12.3013,-631474.1843
12.3596,-632037.3939
12.4179,-632621.3344
12.4762,-633123.8677
12.5345,-633762.5915
12.5928,-634214.2365
12.6511,-635001.4249
12.7094,-635496.6971
12.7677,-636115.6183
12.826,-636712.2669
12.8843,-637495.8655
12.9426,-637964.0361
13.0009,-638719.4491
13.0592,-639355.2132
13.1175,-640093.0397
13.1758,-640719.8099
13.2341,-641517.4001
13.2924,-642165.7198
13.3507,-643052.2205
13.409,-643708.0802
13.4673,-644567.8467
13.5256,-645319.982
13.5839,-646223.2098
13.6422,-646931.3412
13.7005,-647971.9971
13.7588,-648701.1683
13.8171,-649672.4769
13.8754,-650484.2025
13.9337,-651377.9398
13.992,-652167.7408
14.0503,-653100.709
14.1086,-654010.9262
14.1669,-654925.6756
14.2252,-655704.9722
14.2835,-656807.6002
14.3418,-657592.8711
14.4001,-658483.5233
14.4584,-659497.6538
14.5167,-660562.1706
14.575,-661436.8195
14.6333,-662563.7614
14.6916,-663465.8871
14.7499,-664491.8292
14.8082,-665380.3329
14.8665,-666360.7804
14.9248,-667322.0599
14.9831,-668376.1398
15.0414,-669226.0877
15.0997,-670417.1221
15.158,-671322.4609
15.2163,-672479.5963
15.2746,-673363.4876
15.3329,-674399.9275
15.3912,-675364.3722
15.4495,-676336.8252
15.5078,-677289.1911
15.5661,-678435.597
15.6244,-679269.1912
15.6827,-680336.8146
15.741,-681161.2007
15.7993,-682249.6864
15.8576,-683202.6159
15.9159,-684196.1496
15.9742,-684984.668
16.0325,-686100.3844
16.0908,-686821.2034
16.1491,-687941.2159
16.2074,-688784.373
16.2657,-689582.4736
16.324,-690311.8589
16.3823,-691263.0714
16.4406,-692155.452
16.4989,-692896.249
16.5572,-693771.3852
16.6155,-694591.5392
16.6738,-695337.2554
16.7321,-696202.1249
16.7904,-696949.2173
16.8487,-697819.4829
16.907,-698667.1014
16.9653,-699459.383
17.0236,-700267.7902
17.0819,-701219.9699
17.1402,-701946.4267
17.1985,-702709.7671
17.2568,-703685.4383
17.3151,-704483.465
17.3734,-705281.037
17.4317,-706124.1712
17.49,-706861.4926
17.5483,-707713.4695
17.6066,-708598.2988
17.6649,-709210.9351
17.7232,-709930.9595
17.7815,-710821.1661
17.8398,-711377.8579
17.8981,-712211.2607
17.9564,-713035.2831
18.0147,-713734.6165
18.073,-714432.5098
18.1313,-715176.4851
18.1896,-715824.3931
18.2479,-716774.4882
18.3062,-717299.1394
18.3645,-718019.7709
18.4228,-718783.6277
18.4811,-719702.4871
18.5394,-720508.3612
18.5977,-721243.2147
18.656,-721957.4094
18.7143,-722772.3637
18.7726,-723430.7329
18.8309,-724326.9619
18.8892,-724970.5931
18.9475,-725836.6006
19.0058,-726494.8942
19.0641,-727243.5448
19.1224,-727808.4263
19.1807,-728567.8311
19.239,-729027.9376
19.2973,-729864.3819
19.3556,-730516.4116
19.4139,-731320.7246
19.4722,-731781.0852
19.5305,-732488.7336
19.5888,-733072.5008
19.6471,-733634.2642
19.7054,-734412.7644
19.7637,-734906.4194
19.822,-735591.6688
19.8803,-736205.7458
19.9386,-736974.3602
19.9969,-737458.2095
20.0552,-738169.6959
20.1135,-738567.6459
20.1718,-739477.5756
20.2301,-739823.4558
20.2884,-740692.7746
20.3467,-741090.1356
20.405,-741942.9578
20.4633,-742362.8858
20.5216,-743142.3999
20.5799,-743685.274
20.6382,-744368.8746
20.6965,-744683.2942
20.7548,-745421.1431
20.8131,-745791.2677
20.8714,-746544.6436
20.9297,-746884.3359
20.988,-747562.9362
21.0463,-748075.947
21.1046,-748856.9037
21.1629,-749118.0151
21.2212,-749939.1331
21.2795,-750215.0603
21.3378,-750798.3376
21.3961,-751168.4021
21.4544,-751768.2885
21.5127,-751835.5747
21.571,-752800.9881
21.6293,-752957.6149
21.6876,-753689.945
21.7459,-753864.432
21.8042,-754366.4999
21.8625,-754509.9651
21.9208,-755105.4748
21.9791,-754958.4191
22.0374,-755682.6812
22.0957,-755887.6991
22.154,-756429.6541
22.2123,-756547.4402
22.2706,-757078.4693
22.3289,-757088.4149
22.3872,-757634.4912
22.4455,-757985.4138
22.5038,-758192.2408
22.5621,-758543.0829
22.6204,-758826.5608
22.6787,-758932.6506
22.737,-759142.1861
22.7953,-759584.6213
22.8536,-760073.5746
22.9119,-760169.902
22.9702,-760266.3602
23.0285,-760541.5331
23.0868,-760770.8336
23.1451,-761050.1224
23.2034,-761025.7388
23.2617,-761425.2992
23.32,-761638.2475
23.3783,-761721.526
23.4366,-761878.6774
23.4949,-762172.2127
23.5532,-762143.267
23.6115,-762373.5724
23.6698,-762458.9703
23.7281,-762682.1138
23.7864,-762845.5631
23.8447,-762984.6783
23.903,-763194.8258
23.9613,-763572.7348
24.0196,-763181.5868
24.0779,-763359.312
24.1362,-763146.8489
24.1945,-763372.8009
24.2528,-763314.1222
24.3111,-763344.3895
24.3694,-763506.1212
24.4277,-763387.0607
24.486,-763588.1478
24.5443,-763530.1369
24.6026,-763358.2605
24.6609,-763459.3206
24.7192,-763360.9321
24.7775,-763338.0972
24.8358,-763085.6858
24.8941,-763245.0348
24.9524,-763037.3982
25.0107,-762996.4566
25.069,-762841.5425
25.1273,-762724.7291
25.1856,-762514.0996
25.2439,-762346.0449
25.3022,-762647.9176
25.3605,-762057.3251
25.4188,-761671.7199
25.4771,-761557.546
25.5354,-761372.352
25.5937,-761158.7608
25.652,-760691.8545
25.7103,-760493.1969
25.7686,-760124.6982
25.8269,-759704.8163
25.8852,-759502.0614
25.9435,-758897.289
26.0018,-758460.0348
26.0601,-758127.9415
26.1184,-757836.4183
26.1767,-757361.334
26.235,-756647.6177
26.2933,-756336.0226
26.3516,-755884.1042
26.4099,-755399.9803
26.4682,-755071.1672
26.5265,-754667.9305
26.5848,-753766.5214
26.6431,-753698.9833
26.7014,-753137.8243
26.7597,-752637.9256
26.818,-751822.5843
26.8763,-751514.4606
26.9346,-751116.8121
26.9929,-750152.6309
27.0512,-750121.4936
27.1095,-748942.7306
27.1678,-748746.0504
27.2261,-748179.3542
27.2844,-747676.6726
27.3427,-747260.9486
27.401,-746714.5096
27.4593,-746385.1111
27.5176,-745605.0652
27.5759,-745531.1453
27.6342,-744566.5907
27.6925,-744241.395
27.7508,-742638.6775
27.8091,-742271.3208
27.8674,-741540.5337
27.9257,-741080.1935
27.984,-740176.3945
28.0423,-739709.3702
28.1006,-738834.5473
28.1589,-738307.6411
28.2172,-736972.1088
28.2755,-736122.1932
28.3338,-735131.3867
28.3921,-734106.4818
28.4504,-733625.4813
28.5087,-732391.5537
28.567,-732162.9421
28.6253,-731256.2811
28.6836,-730306.2367
28.7419,-729423.6134
28.8002,-728737.1027
28.8585,-727695.3937
28.9168,-727261.6107
28.9751,-726095.326
29.0334,-724859.3124
29.0917,-723982.9421
29.15,-723353.2312
29.2083,-722121.7004
29.2666,-721835.2049
29.3249,-720582.8263
29.3832,-720047.0023
29.4415,-718539.9876
29.4998,-718374.2216
29.5581,-717275.3705
29.6164,-716780.2213
29.6747,-715390.031
29.733,-714721.9425
29.7913,-713719.4498
29.8496,-712325.0834
29.9079,-710937.146
29.9662,-709687.0407
30.0245,-708762.5651
30.0828,-707677.5797
30.1411,-706747.3343
30.1994,-705181.5378
30.2577,-703951.0285
30.316,-702809.5947
30.3743,-702165.7741
30.4326,-701010.5843
30.4909,-699176.5194
30.5492,-698185.5111
30.6075,-696832.7583
30.6658,-695329.6347
30.7241,-693969.9721
30.7824,-692466.4506
30.8407,-691048.6728
30.899,-690192.1267
30.9573,-689160.6228
31.0156,-687905.6206
31.0739,-686287.3645
31.1322,-684623.1868
31.1905,-683416.6335
31.2488,-682073.9003
31.3071,-680560.9789
31.3654,-678740.4301
31.4237,-677525.9186
31.482,-676373.291
31.5403,-674823.4947
31.5986,-673655.1898
31.6569,-672982.2173
31.7152,-671186.1531
31.7735,-669776.4985
31.8318,-667832.5524
31.8901,-666665.0857
31.9484,-665575.2753
32.0067,-664128.7058
32.065,-662938.0974
32.1233,-661469.091
32.1816,-660366.6061
32.2399,-657893.2182
32.2982,-656245.9631
32.3565,-655215.7927
32.4148,-653135.4614
32.4731,-651565.3849
32.5314,-650033.7799
32.5897,-648396.5841
32.648,-646979.7663
32.7063,-644777.6065
32.7646,-643006.0342
32.8229,-641352.3506
32.8812,-640535.5302
32.9395,-637698.3907
32.9978,-637015.3776
33.0561,-634466.2578
33.1144,-633406.3325
33.1727,-630824.5044
33.231,-629732.8842
33.2893,-627703.5139
33.3476,-625731.6424
33.4059,-623986.3751
33.4642,-622217.2283
33.5225,-620384.6087
33.5808,-619036.3183
33.6391,-616072.6996
33.6974,-615132.608
33.7557,-613189.6464
33.814,-611737.9465
33.8723,-609209.2468
33.9306,-608141.5664
33.9889,-605644.6142
34.0472,-604143.4456
34.1055,-601740.0117
34.1638,-599794.5565
34.2221,-598439.1973
34.2804,-595934.9306
34.3387,-594421.4446
34.397,-592750.1635
34.4553,-589993.373
34.5136,-588708.6801
34.5719,-586321.812
34.6302,-584986.7572
34.6885,-582177.8513
34.7468,-580422.9926
34.8051,-579182.2022
34.8634,-576678.5228
34.9217,-574477.6009
34.98,-572530.3378
35.0383,-570719.3708
35.0966,-568336.2623
35.1549,-566122.9904
35.2132,-565326.9588
35.2715,-562638.2704
35.3298,-560988.5973
35.3881,-558912.1038
35.4464,-556373.8599
35.5047,-554469.6637
35.563,-552750.0448
35.6213,-549333.4385
35.6796,-548034.9527
35.7379,-545090.7582
35.7962,-543296.3899
35.8545,-540535.014
35.9128,-538747.5555
35.9711,-536480.2129
36.0294,-534035.8522
36.0877,-531580.2284
36.146,-529123.5789
36.2043,-527502.3637
36.2626,-525509.4082
36.3209,-522796.5515
36.3792,-520071.4975
36.4375,-517621.1752
36.4958,-515083.06
36.5541,-512973.0853
36.6124,-510385.1064
36.6707,-507700.1376
36.729,-505131.6001
36.7873,-503087.9482
36.8456,-501166.1395
36.9039,-498416.0218
36.9622,-496617.8912
37.0205,-493354.4493
37.0788,-492112.8721
37.1371,-489358.3228
37.1954,-486706.6129
37.2537,-485073.0007
37.312,-483146.0037
37.3703,-481766.3442
37.4286,-480142.4979
37.4869,-477414.3057
37.5452,-476259.6176
37.6035,-473611.4606
37.6618,-472614.6577
37.7201,-470853.9555
37.7784,-469304.9222
37.8367,-467294.6218
