time,value
0.0,0.0
0.0583,-0.020191273875
0.1166,-0.040378289645
0.1749,-0.060568424226
0.2332,-0.080759162095
0.2915,-0.10095080294
0.3498,-0.12114448972
0.4081,-0.14134011155
0.4664,-0.16153884435
0.5247,-0.18173810495
0.583,-0.20193834247
0.6413,-0.22213827774
0.6996,-0.242337034
0.7579,-0.26253328501
0.8162,-0.28272594382
0.8745,-0.30291501224
0.9328,-0.32309844499
0.9911,-0.34327705639
1.0494,-0.36344870765
1.1077,-0.38361376402
1.166,-0.40377021854
1.2243,-0.42391809173
1.2826,-0.44405541705
1.3409,-0.46418231056
1.3992,-0.48429741532
1.4575,-0.50440025977
1.5158,-0.52449011358
1.5741,-0.5445656667
1.6324,-0.56462584537
1.6907,-0.58466986193
1.749,-0.60469681529
1.8073,-0.62470603174
1.8656,-0.644696162
1.9239,-0.66466735357
1.9822,-0.68461841475
2.0405,-0.70454857926
2.0988,-0.72445720145
2.1571,-0.74434345076
2.2154,-0.76420674712
2.2737,-0.78404608147
2.332,-0.80386140392
2.3903,-0.82365232281
2.4486,-0.84341785541
2.5069,-0.8631577167
2.5652,-0.88287111458
2.6235,-0.90255753339
2.6818,-0.92221647275
2.7401,-0.94184808629
2.7984,-0.96145130133
2.8567,-0.98102623272
2.915,-1.0005719339
2.9733,-1.0200884233
3.0316,-1.039574781
3.0899,-1.059031617
3.1482,-1.0784575604
3.2065,-1.09785298
3.2648,-1.1172169501
3.3231,-1.1365497387
3.3814,-1.1558501176
3.4397,-1.1751187447
3.498,-1.1943543099
3.5563,-1.2135571523
3.6146,-1.2327263171
3.6729,-1.2518615
3.7312,-1.2709625384
3.7895,-1.2900601049
3.8478,-1.3094002411
3.9061,-1.3292650168
3.9644,-1.3499287742
4.0227,-1.3716611551
4.081,-1.3947249603
4.1393,-1.4193702176
4.1976,-1.4458392702
4.2559,-1.474362741
4.3142,-1.5051603364
4.3725,-1.5384366489
4.4308,-1.5743785481
4.4891,-1.6131548321
4.5474,-1.6549169612
4.6057,-1.6997895915
4.664,-1.747874623
4.7223,-1.7992419039
4.7806,-1.8539353064
4.8389,-1.9119658166
4.8972,-1.9733084289
4.9555,-2.0378961791
5.0138,-2.1056339258
5.0721,-2.1763838006
5.1304,-2.2499787301
5.1887,-2.3262106196
5.247,-2.4048527162
5.3053,-2.4856328056
5.3636,-2.5682788715
5.4219,-2.6524755687
5.4802,-2.7379240604
5.5385,-2.8242859022
5.5968,-2.9112511447
5.6551,-2.9984766918
5.7134,-3.0856653595
5.7717,-3.1725002715
5.83,-3.2587576737
5.8883,-3.3441818386
5.9466,-3.4286198909
6.0049,-3.5118748895
6.0632,-3.5938718122
6.1215,-3.6744688211
6.1798,-3.7535945905
6.2381,-3.8311142182
6.2964,-3.9069429368
6.3547,-3.9809720174
6.413,-4.0531242537
6.4713,-4.123289044
6.5296,-4.1914147886
6.5879,-4.2574020782
6.6462,-4.3212095154
6.7045,-4.3827540108
6.7628,-4.4420190889
